,BEGIN_YEARMONTH,Day,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,YEAR,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,Year,Month
17251,199806,25,2345,199806,25,2345,2082323,5657680,MICHIGAN,1998,Thunderstorm Wind,C,15,BARRY,GRR,25-JUN-98 23:45:00,EST,25-JUN-98 23:45:00,0,0,0,0,1998,6
17306,199812,21,1300,199812,22,1800,2151762,5678018,MICHIGAN,1998,Lake-Effect Snow,Z,37,MASON,GRR,21-DEC-98 13:00:00,EST,22-DEC-98 18:00:00,0,0,0,0,1998,2
17503,199805,29,215,199805,29,215,2076951,5641572,MICHIGAN,1998,Thunderstorm Wind,C,145,SAGINAW,DTX,29-MAY-98 02:15:00,EST,29-MAY-98 02:15:00,0,0,0,0,1998,5
17511,199806,16,2030,199806,16,2030,2078488,5650841,MICHIGAN,1998,Thunderstorm Wind,C,125,OAKLAND,DTX,16-JUN-98 20:30:00,EST,16-JUN-98 20:30:00,0,0,0,0,1998,6
17514,199806,12,1545,199806,12,1545,2082316,5658530,MICHIGAN,1998,Hail,C,25,CALHOUN,GRR,12-JUN-98 15:45:00,EST,12-JUN-98 15:45:00,0,0,0,0,1998,6
17819,199805,31,500,199805,31,535,2081019,5655286,MICHIGAN,1998,Thunderstorm Wind,C,37,CLINTON,GRR,31-MAY-98 05:00:00,EST,31-MAY-98 05:35:00,0,0,1,0,1998,5
17903,199805,31,510,199805,31,510,2076963,5645870,MICHIGAN,1998,Thunderstorm Wind,C,51,GLADWIN,APX,31-MAY-98 05:10:00,EST,31-MAY-98 05:10:00,0,0,0,0,1998,5
17904,199805,31,515,199805,31,515,2076963,5645871,MICHIGAN,1998,Thunderstorm Wind,C,51,GLADWIN,APX,31-MAY-98 05:15:00,EST,31-MAY-98 05:15:00,0,0,0,0,1998,5
17905,199805,31,520,199805,31,520,2076963,5645872,MICHIGAN,1998,Thunderstorm Wind,C,129,OGEMAW,APX,31-MAY-98 05:20:00,EST,31-MAY-98 05:20:00,0,0,0,0,1998,5
17906,199805,31,520,199805,31,520,2076963,5645873,MICHIGAN,1998,Thunderstorm Wind,C,135,OSCODA,APX,31-MAY-98 05:20:00,EST,31-MAY-98 05:20:00,0,0,0,0,1998,5
17907,199805,31,527,199805,31,527,2076963,5645874,MICHIGAN,1998,Thunderstorm Wind,C,1,ALCONA,APX,31-MAY-98 05:27:00,EST,31-MAY-98 05:27:00,0,0,0,0,1998,5
17908,199805,31,530,199805,31,530,2076963,5645875,MICHIGAN,1998,Thunderstorm Wind,C,11,ARENAC,APX,31-MAY-98 05:30:00,EST,31-MAY-98 05:30:00,0,0,0,0,1998,5
