,BEGIN_YEARMONTH,Day,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,YEAR,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,SOURCE,Year,Month
30735,200005,9,1949,200005,9,1955,1094970,5144450,MICHIGAN,2000,Thunderstorm Wind,C,163,WAYNE,DTX,09-MAY-00 19:49:00,EST,09-MAY-00 19:55:00,0,0,0,0,TRAINED SPOTTER,2000,5
30736,200005,9,1955,200005,9,2000,1094970,5144451,MICHIGAN,2000,Thunderstorm Wind,C,163,WAYNE,DTX,09-MAY-00 19:55:00,EST,09-MAY-00 20:00:00,0,0,0,0,GENERAL PUBLIC,2000,5
30737,200006,14,1813,200006,14,1813,1094957,5144491,MICHIGAN,2000,Thunderstorm Wind,C,23,BRANCH,IWX,14-JUN-00 18:13:00,EST,14-JUN-00 18:13:00,0,0,0,0,LAW ENFORCEMENT,2000,6
30790,200005,9,1850,200005,9,1850,1095063,5144043,MICHIGAN,2000,Thunderstorm Wind,C,75,JACKSON,GRR,09-MAY-00 18:50:00,EST,09-MAY-00 18:50:00,0,0,0,0,NWS STORM SURVEY,2000,5
30791,200005,18,1200,200005,18,1200,1095066,5144064,MICHIGAN,2000,Hail,C,45,EATON,GRR,18-MAY-00 12:00:00,EST,18-MAY-00 12:00:00,0,0,0,0,TRAINED SPOTTER,2000,5
30795,200005,12,1512,200005,12,1512,1094838,5144159,MICHIGAN,2000,Hail,C,129,OGEMAW,APX,12-MAY-00 15:12:00,EST,12-MAY-00 15:12:00,0,0,0,0,TRAINED SPOTTER,2000,5
30801,200005,12,1555,200005,12,1555,1095065,5144052,MICHIGAN,2000,Hail,C,35,CLARE,GRR,12-MAY-00 15:55:00,EST,12-MAY-00 15:55:00,0,0,0,0,TRAINED SPOTTER,2000,5
30802,200005,12,1730,200005,12,1751,1095065,5144053,MICHIGAN,2000,Hail,C,5,ALLEGAN,GRR,12-MAY-00 17:30:00,EST,12-MAY-00 17:51:00,0,0,0,0,TRAINED SPOTTER,2000,5
30803,200005,12,1814,200005,12,1814,1095065,5144054,MICHIGAN,2000,Hail,C,5,ALLEGAN,GRR,12-MAY-00 18:14:00,EST,12-MAY-00 18:14:00,0,0,0,0,TRAINED SPOTTER,2000,5
30804,200005,12,1845,200005,12,1851,1095065,5144055,MICHIGAN,2000,Thunderstorm Wind,C,15,BARRY,GRR,12-MAY-00 18:45:00,EST,12-MAY-00 18:51:00,0,0,0,0,TRAINED SPOTTER,2000,5
