,BEGIN_YEARMONTH,Day,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EVENT_ID,STATE,YEAR,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,MAGNITUDE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,END_RANGE,Year,Month
909,199304,24,1730,199304,24,1730,10329310,MICHIGAN,1993,Hail,C,35,CLARE,24-APR-93 17:30:00,EST,24-APR-93 17:30:00,0,0,0,0,0,0,0.75,0.0,0,0,0,1993,4
910,199308,27,1810,199308,27,1810,10329311,MICHIGAN,1993,Thunderstorm Wind,C,35,CLARE,27-AUG-93 18:10:00,EST,27-AUG-93 18:10:00,0,0,0,0,.5K,0,0.0,0.0,0,30,0,1993,8
911,199308,27,1810,199308,27,1810,10329312,MICHIGAN,1993,Thunderstorm Wind,C,35,CLARE,27-AUG-93 18:10:00,EST,27-AUG-93 18:10:00,0,0,0,0,.5K,0,0.0,0.0,0,58,0,1993,8
956,199308,13,1350,199308,13,1350,10329302,MICHIGAN,1993,Thunderstorm Wind,C,33,CHIPPEWA,13-AUG-93 13:50:00,EST,13-AUG-93 13:50:00,0,0,0,0,0,0,55.0,0.0,0,0,0,1993,8
1470,199308,1,2337,199308,1,2337,10329456,MICHIGAN,1993,Hail,C,81,KENT,01-AUG-93 23:37:00,EST,01-AUG-93 23:37:00,0,0,0,0,0,0,0.5,0.0,0,0,0,1993,8
1471,199308,1,2352,199308,1,2352,10329457,MICHIGAN,1993,Thunderstorm Wind,C,81,KENT,01-AUG-93 23:52:00,EST,01-AUG-93 23:52:00,0,0,0,0,0,0,55.0,0.0,0,0,0,1993,8
1472,199308,1,2357,199308,1,2357,10329458,MICHIGAN,1993,Hail,C,81,KENT,01-AUG-93 23:57:00,EST,01-AUG-93 23:57:00,0,0,0,0,0,0,4.0,0.0,0,0,0,1993,8
1556,199308,6,1524,199308,6,1524,10329459,MICHIGAN,1993,Hail,C,81,KENT,06-AUG-93 15:24:00,EST,06-AUG-93 15:24:00,0,0,0,0,0,0,0.75,0.0,0,0,0,1993,8
1557,199308,6,1529,199308,6,1529,10329460,MICHIGAN,1993,Hail,C,81,KENT,06-AUG-93 15:29:00,EST,06-AUG-93 15:29:00,0,0,0,0,0,0,0.75,0.0,0,0,0,1993,8
1558,199308,6,1530,199308,6,1530,10329461,MICHIGAN,1993,Hail,C,81,KENT,06-AUG-93 15:30:00,EST,06-AUG-93 15:30:00,0,0,0,0,0,0,0.75,0.0,0,0,0,1993,8
1559,199308,23,2100,199308,23,2100,10329462,MICHIGAN,1993,Thunderstorm Wind,C,81,KENT,23-AUG-93 21:00:00,EST,23-AUG-93 21:00:00,0,0,0,0,5K,0,0.0,0.0,0,0,0,1993,8
1560,199308,23,2120,199308,23,2120,10329463,MICHIGAN,1993,Thunderstorm Wind,C,81,KENT,23-AUG-93 21:20:00,EST,23-AUG-93 21:20:00,0,0,0,0,50K,5K,0.0,0.0,0,4,0,1993,8
1579,199308,27,1820,199308,27,1820,10329024,MICHIGAN,1993,Thunderstorm Wind,C,51,GLADWIN,27-AUG-93 18:20:00,EST,27-AUG-93 18:20:00,0,0,0,0,.5K,0,0.0,0.0,0,43,0,1993,8
1580,199308,27,1825,199308,27,1825,10329025,MICHIGAN,1993,Thunderstorm Wind,C,51,GLADWIN,27-AUG-93 18:25:00,EST,27-AUG-93 18:25:00,0,0,0,0,.5K,0,0.0,0.0,0,50,0,1993,8
1630,199304,24,1616,199304,24,1616,10329030,MICHIGAN,1993,Hail,C,55,GRAND TRAVERSE,24-APR-93 16:16:00,EST,24-APR-93 16:16:00,0,0,0,0,0,0,1.0,0.0,0,0,0,1993,4
1631,199304,24,1635,199304,24,1635,10329031,MICHIGAN,1993,Hail,C,55,GRAND TRAVERSE,24-APR-93 16:35:00,EST,24-APR-93 16:35:00,0,0,0,0,0,0,1.0,0.0,0,4,0,1993,4
1713,199308,27,1915,199308,27,1915,10329118,MICHIGAN,1993,Thunderstorm Wind,C,21,BERRIEN,27-AUG-93 19:15:00,EST,27-AUG-93 19:15:00,0,0,0,0,0,0,0.0,0.0,0,0,0,1993,8
1714,199304,15,1400,199304,15,1400,10329123,MICHIGAN,1993,Thunderstorm Wind,C,23,BRANCH,15-APR-93 14:00:00,EST,15-APR-93 14:00:00,0,0,0,0,0,0,0.0,0.0,0,0,0,1993,4
1715,199304,15,1600,199304,15,1600,10329124,MICHIGAN,1993,Thunderstorm Wind,C,23,BRANCH,15-APR-93 16:00:00,EST,15-APR-93 16:00:00,0,0,0,0,5K,0,52.0,0.0,0,0,0,1993,4
1716,199308,19,1720,199308,19,1720,10329125,MICHIGAN,1993,Hail,C,23,BRANCH,19-AUG-93 17:20:00,EST,19-AUG-93 17:20:00,0,0,0,0,0,0,0.75,0.0,0,0,0,1993,8
1717,199304,15,1730,199304,15,1730,10329127,MICHIGAN,1993,Thunderstorm Wind,C,65,INGHAM,15-APR-93 17:30:00,EST,15-APR-93 17:30:00,0,0,0,0,5K,0,45.0,0.0,0,1,0,1993,4
1718,199304,15,1740,199304,15,1740,10329128,MICHIGAN,1993,Thunderstorm Wind,C,65,INGHAM,15-APR-93 17:40:00,EST,15-APR-93 17:40:00,0,0,0,0,5K,0,52.0,0.0,0,0,0,1993,4
1719,199304,20,1045,199304,20,1045,10329129,MICHIGAN,1993,Hail,C,65,INGHAM,20-APR-93 10:45:00,EST,20-APR-93 10:45:00,0,0,0,0,0,0,1.0,0.0,0,0,0,1993,4
1720,199304,20,1055,199304,20,1055,10329130,MICHIGAN,1993,Hail,C,65,INGHAM,20-APR-93 10:55:00,EST,20-APR-93 10:55:00,0,0,0,0,0,0,1.0,0.0,0,0,0,1993,4
1762,199308,15,1740,199308,15,1740,10329473,MICHIGAN,1993,Thunderstorm Wind,C,99,MACOMB,15-AUG-93 17:40:00,EST,15-AUG-93 17:40:00,0,0,0,0,5K,0,52.0,0.0,0,0,0,1993,8
1942,199308,27,1955,199308,27,1955,10329227,MICHIGAN,1993,Thunderstorm Wind,C,27,CASS,27-AUG-93 19:55:00,EST,27-AUG-93 19:55:00,0,0,0,0,50K,0,0.0,0.0,0,5,0,1993,8
1943,199304,24,1912,199304,24,1912,10329238,MICHIGAN,1993,Thunderstorm Wind,C,69,IOSCO,24-APR-93 19:12:00,EST,24-APR-93 19:12:00,0,0,0,0,0,0,0.0,0.0,0,10,0,1993,4
1944,199304,24,1915,199304,24,1915,10329239,MICHIGAN,1993,Hail,C,69,IOSCO,24-APR-93 19:15:00,EST,24-APR-93 19:15:00,0,0,0,0,0,0,0.75,0.0,0,8,0,1993,4
1945,199308,3,1640,199308,3,1640,10329240,MICHIGAN,1993,Hail,C,69,IOSCO,03-AUG-93 16:40:00,EST,03-AUG-93 16:40:00,0,0,0,0,0,0,0.75,0.0,0,0,0,1993,8
1946,199308,30,2255,199308,30,2255,10329241,MICHIGAN,1993,Hail,C,69,IOSCO,30-AUG-93 22:55:00,EST,30-AUG-93 22:55:00,0,0,0,0,0,0,1.75,0.0,0,0,0,1993,8
